Timestamp,Instance Type,Availability Zone,Performance,Variability
05-2016,Basic_A1,East US,12.796965,0.593562677
05-2016,Basic_A2,East US,26.23809509,0.628313295
05-2016,Basic_A3,East US,47.88931708,1.342841128
05-2016,Basic_A4,East US,85.65987285,3.404331991
05-2016,Standard_D1,East US,33.08385538,1.394436019
05-2016,Standard_D2,East US,63.89031206,3.295669825
05-2016,Standard_D3,East US,112.9425159,5.292375796
05-2016,Standard_D4,East US,206.5314628,5.191999009
05-2016,Standard_D11,East US,62.63564588,3.066658669
05-2016,Standard_D12,East US,116.3788332,4.470139204
05-2016,Standard_D13,East US,202.9652237,12.3189021
05-2016,Standard_D1_v2,East US,47.59383203,1.850175023
05-2016,Standard_D2_v2,East US,91.4502415,3.763960536
05-2016,Standard_D3_v2,East US,156.3275525,4.655828578
05-2016,Standard_D4_v2,East US,286.3728152,1.588338443
05-2016,Standard_D11_v2,East US,91.13570576,2.297870571
05-2016,Standard_D12_v2,East US,159.9446993,2.489256834
05-2016,Standard_D13_v2,East US,272.9086639,4.987380869
