Timestamp,Instance Type,Availability Zone,Performance,Variability
05-2016,t2.micro,EU West,11.07749506,0.699001959
05-2016,t2.small,EU West,17.38481401,0.281073619
05-2016,t2.medium,EU West,34.67099371,0.67603414
05-2016,t2.large,EU West,51.13395783,1.033658239
05-2016,m4.large,EU West,57.17984312,0.481804023
05-2016,m4.xlarge,EU West,107.3540708,0.766328245
05-2016,m4.2xlarge,EU West,196.3796387,2.609694017
05-2016,c4.large,EU West,66.30833615,0.495241131
05-2016,c4.xlarge,EU West,125.5799283,0.419723602
05-2016,c4.2xlarge,EU West,227.1927987,3.322888127
