Instance,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Average,max decrease,max increase,from average
1,51.19,51.86,51.64,50.42,51.95,51.62,51.45,-0.77,0.76,0.26
2,51.97,50.48,51.72,52.15,51.01,51.39,51.45,-1.49,0.18,0.52
3,49.4,50.24,49.88,50.03,49.75,50.27,49.93,0,0.87,0.53
4,47.8,48.37,47.05,47.58,47.43,48.81,47.84,-0.75,1.01,0.04
5,48.77,51.37,50.29,51.08,50.35,50.35,50.37,0,2.6,1.6
6,49.7,48.93,48.85,49.85,48.48,48.81,49.1,-1.22,0.15,0.6
7,51.71,51.27,51.56,51.23,50.42,50.87,51.18,-1.29,0,0.53
8,49.64,50.33,52.05,50.65,51.67,50.58,50.82,0,2.41,1.18
9,47.68,49.16,49.55,49.15,49.75,48.94,49.04,0,2.07,1.36
10,50.26,49.97,48.74,49.07,49.68,49.2,49.49,-1.52,0,0.77
,,,,,,,50.07,-0.7,1.01,0.74
