provider,vm_type,vm_size,iteration,compiler,compress,crypto,derby,mpegaudio,scimark_large,scimark_small,serial,startup,sunflow,xml
azure,standard,d1,1,61.86,34.01,40.22,72.60,26.11,16.83,48.44,31.57,14.95,14.64,101.43
azure,standard,d1,2,55.23,35.14,36.44,62.96,24.48,15.88,49.30,27.66,13.82,14.45,86.83
azure,standard,d1,3,53.82,34.39,36.07,61.47,24.42,15.38,48.92,27.80,13.25,14.33,86.29
azure,standard,d1,4,52.16,33.33,35.55,58.92,24.00,14.65,45.72,25.63,13.14,13.35,85.61
azure,standard,d1,5,54.05,34.25,36.47,60.64,24.12,15.45,48.39,27.30,13.68,14.23,88.40
azure,standard,d2,1,80.16,33.89,38.84,64.99,25.25,15.78,46.93,30.85,17.37,27.36,101.59
azure,standard,d2,2,84.38,34.05,39.20,66.40,25.85,16.14,48.05,30.99,18.41,28.85,98.18
azure,standard,d2,3,88.95,36.02,41.01,70.39,26.66,16.58,50.28,32.12,18.90,29.00,102.02
azure,standard,d2,4,74.61,34.84,36.39,59.14,24.33,15.66,50.58,27.66,17.18,28.04,84.53
azure,standard,d2,5,88.87,36.53,41.57,70.53,27.00,17.12,50.40,33.99,18.94,29.52,103.52
azure,standard,d3,1,71.44,32.19,35.21,52.47,22.84,15.46,49.63,24.54,18.56,47.03,80.24
azure,standard,d3,2,107.99,44.27,50.47,83.72,31.30,21.26,62.81,38.15,25.99,70.26,131.23
azure,standard,d3,3,72.89,33.04,34.39,55.19,23.09,15.44,48.04,24.09,18.21,47.73,78.14
azure,standard,d3,4,78.53,32.21,38.92,60.80,24.97,16.06,48.09,29.50,19.42,49.22,94.99
azure,standard,d3,5,76.00,34.09,36.14,59.00,23.57,15.97,50.85,26.11,19.68,49.83,85.11
azure,standard,d4,1,84.75,35.38,40.78,68.79,25.90,16.37,48.96,31.61,21.09,54.58,102.08
azure,standard,d4,2,80.00,32.74,38.02,67.11,24.34,15.74,45.87,29.54,20.19,50.07,91.36
azure,standard,d4,3,84.69,33.54,39.18,68.55,25.08,16.75,48.80,29.78,19.97,52.58,97.85
azure,standard,d4,4,86.15,34.62,40.89,69.11,25.95,16.80,50.72,31.20,21.09,54.69,100.42
azure,standard,d4,5,75.42,34.06,36.59,59.09,23.76,16.11,51.87,26.48,18.13,51.32,86.51
azure,standard,d1_v2,1,69.41,45.01,52.81,86.37,34.58,14.14,61.02,39.92,19.78,19.77,129.86
azure,standard,d1_v2,2,88.45,52.22,59.92,103.26,39.67,23.96,73.53,47.36,21.69,22.92,152.90
azure,standard,d1_v2,3,77.63,45.74,53.17,94.18,34.34,20.13,65.49,41.86,18.72,19.87,135.79
azure,standard,d1_v2,4,85.00,50.37,57.55,100.75,37.53,22.55,70.34,43.37,21.26,21.54,146.37
azure,standard,d1_v2,5,81.46,46.60,54.13,98.15,35.34,20.92,66.96,42.99,21.99,20.44,138.02
azure,standard,d2_v2,1,125.02,53.57,60.11,92.56,38.31,24.46,72.71,46.18,24.70,42.58,145.52
azure,standard,d2_v2,2,112.02,45.29,51.27,88.95,34.12,21.26,65.25,41.38,23.64,37.86,137.51
azure,standard,d2_v2,3,108.78,44.06,50.91,63.36,33.46,20.28,62.61,41.18,23.83,35.58,127.88
azure,standard,d2_v2,4,117.38,49.68,55.93,83.73,36.16,21.59,68.10,45.50,24.05,38.49,138.72
azure,standard,d2_v2,5,125.61,51.95,58.36,91.16,37.99,22.73,69.27,43.54,26.55,38.68,137.97
azure,standard,d3_v2,1,121.73,49.58,58.79,95.11,36.61,20.00,70.75,44.17,27.65,71.68,144.28
azure,standard,d3_v2,2,111.10,45.40,53.15,84.83,33.66,21.62,66.52,41.28,26.37,66.41,136.74
azure,standard,d3_v2,3,123.52,49.96,58.74,92.79,36.59,23.90,70.63,44.68,25.90,71.20,145.12
azure,standard,d3_v2,4,122.03,49.92,57.76,93.94,37.00,23.55,72.14,45.02,28.01,72.40,146.64
azure,standard,d3_v2,5,122.49,49.45,58.11,94.60,36.47,20.28,69.97,45.23,28.22,70.46,149.12
azure,standard,d4_v2,1,116.03,46.24,54.82,94.35,36.77,23.10,69.29,45.40,27.94,70.42,139.95
azure,standard,d4_v2,2,119.39,47.35,58.68,95.57,36.77,23.96,71.74,45.74,29.32,73.77,144.23
azure,standard,d4_v2,3,112.56,45.34,54.98,93.24,34.86,22.47,67.69,42.73,26.12,70.51,135.04
azure,standard,d4_v2,4,113.51,47.70,56.04,85.12,35.01,20.20,66.66,42.43,25.58,70.56,143.00
azure,standard,d4_v2,5,125.06,50.99,61.02,92.55,37.80,23.25,71.10,44.47,27.48,70.26,145.41
