VM Type,VM Size,compiler,compress,crypto,derby,mpegaudio,scimark large,scimark small,serial,startup,sunflow,xml,Overall
basic,a1, 21.31, 13.04, 15.14, 25.91,  9.90, 5.78, 18.17, 11.50, 5.47,  5.63,  37.68, 12.80
basic,a2, 63.94, 28.92, 31.54, 50.68, 20.54,10.48, 39.07, 24.50, 7.44, 11.51,  78.68, 26.24
basic,a3,124.56, 58.81, 64.79, 89.29, 40.65,17.63, 76.65, 47.19, 8.13, 22.55, 153.26, 47.89
basic,a4,221.47,120.44,129.10,160.09, 80.66,30.99,157.95, 87.67, 8.04, 43.63, 279.23, 85.66
standard,d1, 57.87, 34.34, 38.50, 61.06, 25.26,15.93, 48.00, 29.45,14.11, 14.61,  95.51, 33.08
standard,d2,155.67, 68.32, 77.09,116.67, 50.42,27.99, 97.38, 58.66,18.05, 28.09, 186.13, 63.89
standard,d3,306.36,135.30,150.47,170.25, 97.57,45.50,199.49,109.30,19.53, 57.11, 353.39,112.94
standard,d4,549.86,271.01,290.43,414.07,188.92,71.54,397.99,209.18,19.12,112.64, 679.45,206.53
standard,d11,155.80, 66.46, 76.45,112.30, 48.60,28.23, 98.53, 56.71,17.05, 28.02, 180.59, 62.64
standard,d12,311.39,136.41,152.10,206.59, 97.93,46.41,198.56,112.14,19.55, 56.97, 356.60,116.38
standard,d13,546.31,257.19,300.84,348.70,195.95,68.33,381.48,207.22,19.81,115.25, 703.06,202.97
standard,d1_v2, 82.59, 49.06, 55.91, 85.43, 36.51,19.84, 69.47, 45.94,19.84, 21.83, 151.07, 47.59
standard,d2_v2,230.55, 98.84,113.81,160.84, 72.52,32.95,139.14, 90.96,25.26, 41.50, 284.28, 91.45
standard,d3_v2,446.80,183.52,216.06,242.91,135.68,47.22,268.74,164.49,27.90, 77.89, 535.10,156.33
standard,d4_v2,846.63,370.90,422.39,615.61,267.04,64.25,522.43,317.23,27.72,157.77,1048.73,286.37
standard,d11_v2,233.13, 96.07,112.59,167.98, 70.65,35.96,138.40, 86.64,25.30, 39.61, 278.92, 91.14
standard,d12_v2,444.79,183.70,215.07,281.57,136.92,50.54,267.60,164.73,27.94, 78.24, 532.88,159.94
standard,d13_v2,575.80,367.98,412.32,588.54,266.92,62.29,509.81,311.86,27.92,156.94,1054.62,272.91
