,,Azure,,,,,,,,,,,,,,,,,
,,Basic_A1,Basic_A2,Basic_A3,Basic_A4,Standard_D1,Standard_D2,Standard_D3,Standard_D4,Standard_D11,Standard_D12,Standard_D13,Standard_D1_v2,Standard_D2_v2,Standard_D3_v2,Standard_D4_v2,Standard_D11_v2,Standard_D12_v2,Standard_D13_v2
,cores,1.00,2.00,4.00,8.00,1.00,2.00,4.00,8.00,2.00,4.00,8.00,1.00,2.00,4.00,8.00,2.00,4.00,8.00
,memory (GB),1.75,3.50,7.00,14.00,3.50,7.00,14.00,28.00,14.00,28.00,56.00,3.50,7.00,14.00,28.00,14.00,28.00,56.00
,compiler,21.31,63.94,124.56,221.47,57.87,155.67,306.36,540.11,155.80,311.39,546.31,82.59,230.55,446.80,#DIV/0!,233.13,444.79,#DIV/0!
,compress,13.04,28.92,58.81,120.44,34.34,68.32,135.30,267.88,66.46,136.41,257.19,49.06,98.84,183.52,#DIV/0!,96.07,183.70,#DIV/0!
,crypto,15.14,31.54,64.79,129.10,76.45,77.09,150.47,284.76,76.45,152.10,300.84,55.91,113.81,216.06,#DIV/0!,112.59,215.07,#DIV/0!
,derby,25.91,50.68,89.29,160.09,112.30,116.67,170.25,391.60,112.30,206.59,348.70,85.43,160.84,242.91,#DIV/0!,167.98,281.57,#DIV/0!
,mpegaudio,9.90,20.54,40.65,80.66,48.60,50.42,97.57,187.51,48.60,97.93,195.95,36.51,72.52,135.68,#DIV/0!,70.65,136.92,#DIV/0!
,scimark.large,5.78,10.48,17.63,30.99,15.93,27.99,45.50,74.79,98.53,198.56,381.48,19.84,32.95,47.22,#DIV/0!,35.96,50.54,#DIV/0!
,scimark.small,18.17,39.07,76.65,157.95,48.00,97.38,199.49,403.19,28.23,46.41,68.33,69.47,139.14,268.74,#DIV/0!,138.40,267.60,#DIV/0!
,serial,11.50,24.50,47.19,87.67,29.45,58.66,109.30,205.10,56.71,112.14,207.22,45.94,90.96,164.49,#DIV/0!,86.64,164.73,#DIV/0!
,startup,5.47,7.44,8.13,8.04,14.11,18.05,19.53,18.57,17.05,19.55,19.81,19.84,25.26,27.90,#DIV/0!,25.30,27.94,#DIV/0!
,sunflow,5.63,11.51,22.55,43.63,14.61,28.09,57.11,112.80,28.02,56.97,115.25,21.83,41.50,77.89,#DIV/0!,39.61,78.24,#DIV/0!
,xml,37.68,78.68,153.26,279.23,95.51,186.13,353.39,669.24,180.59,356.60,703.06,151.07,284.28,535.10,#DIV/0!,278.92,532.88,#DIV/0!
,composite,12.80,26.24,47.89,85.66,33.08,63.89,112.94,81.81,62.64,116.38,202.97,47.59,91.45,156.33,0.00,91.14,159.94,0.00
,w/o startup,13.93,29.76,57.18,108.57,36.03,72.50,134.62,103.99,71.36,139.11,256.15,51.95,104.01,185.74,0.00,103.60,190.44,0.00
,cost/hour, $0.044 , $0.088 , $0.176 , $0.352 , $0.077 , $0.154 , $0.308 , $0.616 , $0.195 , $0.390 , $0.780 , $0.073 , $0.146 , $0.293 , $0.585 , $0.185 , $0.371 , $0.741 
,,,1.025168667,0.935560054,0.83672059,,0.965581419,0.853456426,,0.946619509,0.929014394,0.810102701,,,,,,,
,,,1.067949857,1.02596033,0.9739857,,1.006201897,0.934154715,,0.990324408,0.974727004,0.897443219,,,,,,,
,,AWS,,,,,,,,,,,Azure - Single Threaded,,,,,,
