,Standard_D1,Standard_D2,Standard_D3,Standard_D4,Standard_D1_v2,Standard_D2_v2,Standard_D3_v2,Standard_D4_v2
cores,1.00,2.00,4.00,8.00,1.00,2.00,4.00,8.00
memory (GB),3.50,7.00,14.00,28.00,3.50,7.00,14.00,28.00
compiler,55.42,83.39,74.72,82.20,80.39,117.76,120.17,117.31
compress,34.22,35.07,32.88,34.07,47.99,48.91,48.86,47.52
crypto,36.95,39.40,36.17,39.09,55.52,55.32,57.31,57.11
derby,63.32,66.29,56.87,66.53,96.54,83.95,92.25,92.17
mpegaudio,24.63,25.82,23.62,25.01,36.29,36.01,36.07,36.24
scimark.large,15.64,16.26,15.73,16.35,20.34,22.06,21.87,22.60
scimark.small,48.15,49.25,49.15,49.24,67.47,67.59,70.00,69.30
serial,27.99,31.12,26.06,29.72,43.10,43.56,44.08,44.15
startup,13.77,18.16,18.97,20.09,20.69,24.55,27.23,27.29
sunflow,14.20,28.55,48.45,52.65,20.91,38.64,70.43,71.10
xml,89.71,97.97,84.62,95.64,140.59,137.52,144.38,141.53
geometric mean,32.32,38.14,37.15,40.17,47.33,52.36,57.05,56.87
w/o sunflow,35.10,39.26,36.18,39.10,51.37,53.97,55.86,55.61
variance,1.89,2.51,37.21,2.19,9.85,8.96,2.85,2.67
standard deviation,1.38,1.59,6.10,1.48,3.14,2.99,1.69,1.63
cost/hour,$0.077,$0.154,$0.308,$0.616,$0.073,$0.146,$0.293,$0.585
