provider,vm_type,vm_size,iteration,compiler,compress,crypto,derby,mpegaudio,scimark_large,scimark_small,serial,startup,sunflow,xml
aws,t2,micro,1,81.08,46.94,48.25,38.13,3.39,2.06,6.59,4.62,19.83,2.21,12.23
aws,t2,micro,2,81.43,46.79,36.46,9.26,3.40,2.10,6.70,5.44,19.65,1.94,13.31
aws,t2,micro,3,81.37,46.44,37.32,9.12,3.40,2.09,6.64,5.40,19.70,1.98,12.96
aws,t2,micro,4,81.77,47.06,36.26,11.64,4.31,2.53,7.97,5.44,19.77,2.47,16.02
aws,t2,micro,5,81.36,47.98,37.39,9.30,3.47,2.13,6.71,5.45,19.94,1.97,12.85
aws,t2,small,1,74.20,47.01,49.83,37.76,7.21,3.66,12.99,9.48,19.69,3.83,27.45
aws,t2,small,2,74.14,48.21,47.58,36.35,6.50,4.32,13.93,7.79,18.96,4.26,23.67
aws,t2,small,3,76.05,46.02,49.00,41.02,7.41,4.11,13.41,8.59,19.69,3.94,26.32
aws,t2,small,4,73.67,48.03,48.57,36.13,7.40,4.72,15.04,8.71,18.78,4.27,24.56
aws,t2,small,5,74.17,48.17,48.21,35.93,6.45,4.35,13.82,7.89,18.90,4.32,23.20
aws,t2,medium,1,219.99,92.17,99.9,90.83,13.28,7.33,26.96,16.44,26.28,8.24,53.77
aws,t2,medium,2,201.26,95.03,102.34,83.53,12.6,8.03,27.83,14.81,25.36,8.06,46.74
aws,t2,medium,3,226.17,93.27,102.57,100.55,13.33,8.13,26.8,16.81,25.56,8.4,54.74
aws,t2,medium,4,200.01,94.4,107.8,85.6,13.51,8.71,28.46,15.17,25.01,8.28,44.49
aws,t2,medium,5,201.73,94.63,108.63,78.67,14,8.75,28.65,14.96,25.17,8.26,45.25
aws,t2,large,1,238.04,95.15,112.7,196.27,39.67,12.67,41.24,26.63,27.13,12.64,88.78
aws,t2,large,2,225.93,92.45,110.29,177.88,38.75,12.55,40.19,27.55,26.24,11.54,83.98
aws,t2,large,3,230.13,91.87,108.36,175.17,39.59,13.03,42.47,27.91,25.83,12.35,86.07
aws,t2,large,4,230.07,93.6,112.72,180.67,39.44,12.68,40.56,28.37,26.49,12.06,84.83
aws,t2,large,5,218,92.61,109.32,165.8,39.17,10.5,40.69,27.36,25.81,11.93,83.89
aws,m4,large,1,136.96,58.96,60.35,116.29,41.16,25.35,87.34,47.05,21.94,23.49,150.63
aws,m4,large,2,139.56,60.14,59.03,118.88,41.53,26.89,92.59,47.95,21.92,23.56,156.72
aws,m4,large,3,139.45,60.73,58.98,116.58,41.41,25.99,87.2,47.47,21.85,23.37,150.86
aws,m4,large,4,137.31,59.99,59.35,117.7,41.09,25.77,88.73,47.32,22.01,24.29,152.71
aws,m4,large,5,137.24,60.02,59.73,118.51,41.34,27.07,93.25,47.39,21.82,24.31,156.04
aws,m4,xlarge,1,273.75,119.86,117.66,226.25,83.83,49.7,182.7,94.99,26.56,47.84,304.38
aws,m4,xlarge,2,268.49,118.24,119.39,225.15,82.87,49.04,180.12,92.68,26.15,47.51,302.65
aws,m4,xlarge,3,271.94,116.91,120.15,222.22,84.38,49.76,181.76,93.1,26.01,46.48,304.02
aws,m4,xlarge,4,268.73,118.71,117.93,221.81,84.23,42.01,184.91,93.53,25.87,47.92,301.54
aws,m4,xlarge,5,267.64,116.68,120.4,226.03,83.16,49.66,181.22,89.73,26.32,48.07,304.55
aws,m4,2xlarge,1,506.21,234.55,238.8,433.11,167.84,67.72,354.87,175.25,27.9,94.63,601.14
